source,class_name,object_id,split,status,crop,confidence,prompt,box
C:\Users\PKNU-ICEE\Desktop\project\용기\3.8.jpg,food_container,3,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\3__3.8.jpg,0.104033,plastic box,"[71, 110, 152, 182]"
C:\Users\PKNU-ICEE\Desktop\project\용기\3.9.jpg,food_container,3,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\3__3.9.jpg,0.190098,plastic box,"[56, 112, 209, 211]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.1.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.1.jpg,0.123118,plastic box,"[49, 126, 184, 198]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.10.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.10.jpg,0.052663,plastic box,"[81, 111, 216, 167]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.2.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.2.jpg,0.086307,plastic box,"[58, 123, 167, 209]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.3.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.3.jpg,0.168532,plastic box,"[53, 127, 185, 203]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.4.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.4.jpg,0.139413,plastic box,"[74, 129, 179, 213]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.5.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.5.jpg,0.191262,plastic box,"[69, 130, 182, 211]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.6.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.6.jpg,0.199746,plastic box,"[57, 135, 177, 211]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.7.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.7.jpg,0.182803,plastic box,"[64, 138, 155, 210]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.8.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.8.jpg,0.118437,plastic box,"[50, 136, 157, 213]"
C:\Users\PKNU-ICEE\Desktop\project\용기\4.9.jpg,food_container,4,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\4__4.9.jpg,0.101432,plastic box,"[72, 117, 204, 173]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.1.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.1.jpg,0.386466,food bowl,"[41, 119, 159, 202]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.10.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.10.jpg,0.433023,food bowl,"[105, 72, 240, 184]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.2.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.2.jpg,0.504322,food bowl,"[54, 102, 172, 186]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.3.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.3.jpg,0.294036,food bowl,"[61, 82, 217, 202]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.4.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.4.jpg,0.367459,food bowl,"[76, 98, 223, 210]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.5.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.5.jpg,0.276160,food bowl,"[59, 99, 199, 202]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.6.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.6.jpg,0.028544,food bowl,"[58, 75, 186, 188]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.7.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.7.jpg,0.310058,food bowl,"[71, 102, 154, 162]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.8.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.8.jpg,0.060178,food bowl,"[97, 50, 233, 169]"
C:\Users\PKNU-ICEE\Desktop\project\용기\6.9.jpg,food_container,6,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\food_container\6__6.9.jpg,0.022374,food bowl,"[82, 47, 202, 167]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (1).jpg,food_container,box1,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (10).jpg,food_container,box1,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (2).jpg,food_container,box1,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box1__box1 (2).jpg,0.031867,plastic box,"[222, 45, 240, 92]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (3).jpg,food_container,box1,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box1__box1 (3).jpg,0.026686,food storage container,"[32, 21, 207, 196]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (4).jpg,food_container,box1,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (5).jpg,food_container,box1,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (6).jpg,food_container,box1,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (7).jpg,food_container,box1,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box1__box1 (7).jpg,0.028628,plastic box,"[80, 28, 198, 165]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (8).jpg,food_container,box1,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box1__box1 (8).jpg,0.039663,food storage container,"[44, 0, 227, 240]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box1 (9).jpg,food_container,box1,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box1__box1 (9).jpg,0.027131,food bowl,"[78, 56, 198, 202]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.1.jpg,food_container,box2,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.10.jpg,food_container,box2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box2__box2.10.jpg,0.070112,food bowl,"[54, 112, 238, 206]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.11.jpg,food_container,box2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box2__box2.11.jpg,0.050891,food bowl,"[36, 18, 217, 158]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.2.jpg,food_container,box2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box2__box2.2.jpg,0.045193,plastic box,"[97, 16, 238, 154]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.3.jpg,food_container,box2,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.4.jpg,food_container,box2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box2__box2.4.jpg,0.080330,food bowl,"[24, 89, 214, 186]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.5.jpg,food_container,box2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box2__box2.5.jpg,0.175653,food bowl,"[0, 67, 177, 157]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.6.jpg,food_container,box2,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.7.jpg,food_container,box2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box2__box2.7.jpg,0.064444,food bowl,"[59, 96, 213, 191]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.8.jpg,food_container,box2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box2__box2.8.jpg,0.201348,food bowl,"[83, 124, 186, 175]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box2.9.jpg,food_container,box2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\box2__box2.9.jpg,0.053659,food bowl,"[53, 127, 213, 209]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.1.jpg,food_container,box3,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\food_container\box3__box3.1.jpg,0.082565,plastic box,"[62, 47, 239, 161]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.10.jpg,food_container,box3,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\food_container\box3__box3.10.jpg,0.072245,plastic box,"[33, 115, 212, 196]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.2.jpg,food_container,box3,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\food_container\box3__box3.2.jpg,0.092646,food bowl,"[65, 65, 240, 181]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.3.jpg,food_container,box3,val,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.4.jpg,food_container,box3,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\food_container\box3__box3.4.jpg,0.040887,food bowl,"[25, 20, 216, 125]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.5.jpg,food_container,box3,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\food_container\box3__box3.5.jpg,0.021806,food bowl,"[72, 61, 209, 129]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.6.jpg,food_container,box3,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\food_container\box3__box3.6.jpg,0.041976,food bowl,"[74, 42, 220, 140]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.7.jpg,food_container,box3,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\food_container\box3__box3.7.jpg,0.027242,plastic box,"[40, 53, 181, 166]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.8.jpg,food_container,box3,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\food_container\box3__box3.8.jpg,0.029598,plastic box,"[68, 14, 219, 165]"
C:\Users\PKNU-ICEE\Desktop\project\용기\box3.9.jpg,food_container,box3,val,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (1).jpg,drink_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\2__2 (1).jpg,0.522101,coffee mug,"[952, 843, 2007, 3257]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (10).jpg,drink_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\2__2 (10).jpg,0.475043,coffee mug,"[1373, 159, 2738, 2637]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (2).jpg,drink_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\2__2 (2).jpg,0.575868,coffee mug,"[881, 369, 2239, 3240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (3).jpg,drink_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\2__2 (3).jpg,0.800817,drinking cup,"[1033, 781, 1944, 2986]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (4).jpg,drink_container,2,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (5).jpg,drink_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\2__2 (5).jpg,0.341465,travel mug,"[1061, 905, 2006, 3820]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (6).jpg,drink_container,2,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (7).jpg,drink_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\2__2 (7).jpg,0.282167,coffee mug,"[837, 215, 2148, 3796]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (8).jpg,drink_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\2__2 (8).jpg,0.463871,coffee mug,"[277, 331, 2178, 3811]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\2 (9).jpg,drink_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\2__2 (9).jpg,0.639137,drinking cup,"[101, 0, 2411, 3668]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.1.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.1.jpg,0.330252,coffee mug,"[42, 60, 80, 121]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.10.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.10.jpg,0.309286,drinking cup,"[186, 71, 212, 97]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.11.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.11.jpg,0.186379,coffee mug,"[0, 1, 34, 82]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.2.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.2.jpg,0.222512,coffee mug,"[0, 8, 41, 121]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.3.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.3.jpg,0.239508,coffee mug,"[55, 77, 88, 137]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.4.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.4.jpg,0.021826,travel mug,"[66, 0, 107, 47]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.5.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.5.jpg,0.219707,coffee mug,"[0, 0, 21, 62]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.6.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.6.jpg,0.054042,water bottle,"[70, 73, 148, 210]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.7.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.7.jpg,0.028685,water bottle,"[66, 39, 138, 240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.8.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.8.jpg,0.168546,travel mug,"[99, 5, 122, 47]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\5.9.jpg,drink_container,5,val,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\val\drink_container\5__5.9.jpg,0.172838,drinking cup,"[188, 61, 218, 89]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.1.jpg,drink_container,cup,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\drink_container\cup__cup.1.jpg,0.736696,drinking cup,"[55, 4, 190, 223]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.10.jpg,drink_container,cup,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\drink_container\cup__cup.10.jpg,0.062936,drinking cup,"[70, 32, 198, 240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.2.jpg,drink_container,cup,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\drink_container\cup__cup.2.jpg,0.043123,drinking cup,"[40, 7, 201, 240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.3.jpg,drink_container,cup,test,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.4.jpg,drink_container,cup,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\drink_container\cup__cup.4.jpg,0.026539,drinking cup,"[80, 28, 222, 240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.5.jpg,drink_container,cup,test,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.6.jpg,drink_container,cup,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\drink_container\cup__cup.6.jpg,0.231077,coffee mug,"[88, 3, 193, 209]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.7.jpg,drink_container,cup,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\drink_container\cup__cup.7.jpg,0.619266,drinking cup,"[24, 0, 174, 240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.8.jpg,drink_container,cup,test,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\test\drink_container\cup__cup.8.jpg,0.295246,drinking cup,"[53, 0, 210, 240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\cup.9.jpg,drink_container,cup,test,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\텀블러\mug.1.jpg,drink_container,mug,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\mug__mug.1.jpg,0.036259,travel mug,"[49, 36, 166, 224]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\mug.2.jpg,drink_container,mug,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\mug__mug.2.jpg,0.149279,travel mug,"[60, 29, 162, 240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\mug.3.jpg,drink_container,mug,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\mug__mug.3.jpg,0.146389,coffee mug,"[56, 48, 152, 224]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\mug.4.jpg,drink_container,mug,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\mug__mug.4.jpg,0.066904,travel mug,"[177, 135, 197, 174]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\mug.5.jpg,drink_container,mug,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\mug__mug.5.jpg,0.203853,drinking cup,"[78, 13, 173, 240]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\mug.6.jpg,drink_container,mug,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\mug__mug.6.jpg,0.020556,drinking cup,"[106, 49, 177, 209]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\mug.7.jpg,drink_container,mug,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\mug__mug.7.jpg,0.483823,coffee mug,"[0, 8, 150, 210]"
C:\Users\PKNU-ICEE\Desktop\project\텀블러\mug.8.jpg,drink_container,mug,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\drink_container\mug__mug.8.jpg,0.046727,coffee mug,"[62, 29, 143, 240]"
